Video_ID,Title,Published_date,Views,Likes,Comments
g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1862,77,25
rLawTH--l2Y,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3816,158,43
-pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11191,717,145
vfV4nm004VQ,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17285,557,89
oHUD2T_VXfI,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16107,759,93
uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,2020-08-29,50271,2600,452
5v_ulmGv-gc,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14229,594,76
q6Lf2yhvluw,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11547,431,54
iGUiLWFDWfk,Don't Buy My Course..,2020-08-21,7271,356,148
SsGKZe4dVyk,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27655,1072,166
RAMxzqSMDKE,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3115,128,40
YbTMIxjk4hI,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6056,533,110
S_CuB__nsmI,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4703,182,39
KEBVcVwFzaI,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9476,310,53
vQGJvmhpq_s,The Plagiarism Problem in Data Science,2020-08-07,12891,624,150
Xgg7dIKys9E,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13955,593,88
UuR3nomI5AE,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4670,183,56
6tQtwqthUMI,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10264,550,90
